timeSec,positionX,positionY,positionZ,positionErrorM,speedMps,insideBox,currentX,currentY,currentZ,forceX,forceY,forceZ
8.500000000000000000e+00,-5.384218084460402898e-02,2.395772395057446380e-01,1.640446996339498531e-01,2.953081400931725220e-01,5.888966033381963505e-02,1.000000000000000000e+00,3.089686359773094818e-02,-4.943444105127070554e-02,-9.827869309624539043e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
8.550000000000000711e+00,-5.597927854592706087e-02,2.376115425969718420e-01,1.643670730678281899e-01,2.942948513153429979e-01,5.842970324425611484e-02,1.000000000000000000e+00,3.115677745836860010e-02,-4.940805332845396580e-02,-9.811811343456265308e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
8.599999999999999645e+00,-5.838855836637402152e-02,2.359002048959954190e-01,1.644289320168096091e-01,2.934195019119633652e-01,5.911728176959858694e-02,1.000000000000000000e+00,3.141664244533064199e-02,-4.938107009356224042e-02,-9.795044478186607645e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
8.650000000000000355e+00,-6.048640967518478795e-02,2.338608229749823686e-01,1.648129952055312486e-01,2.924257404308806541e-01,5.901716111967742623e-02,1.000000000000000000e+00,3.167644757936016742e-02,-4.935349189300514139e-02,-9.777569925214281768e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
8.700000000000001066e+00,-6.285694070639169517e-02,2.320786679824902998e-01,1.649342973976701821e-01,2.915730193031531581e-01,5.936398911460372824e-02,1.000000000000000000e+00,3.193618188372881334e-02,-4.932531928524026832e-02,-9.759388947068146913e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
8.750000000000000000e+00,-6.491652245529890009e-02,2.299712311791164143e-01,1.653756442086832257e-01,2.906028660477472103e-01,5.959179093881235983e-02,1.000000000000000000e+00,3.219583438470088876e-02,-4.929655284076196048e-02,-9.740502857315961119e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
8.800000000000000711e+00,-6.724924551217062452e-02,2.281236823488704546e-01,1.655521540296400473e-01,2.897764503444305584e-01,5.961942387208524208e-02,1.000000000000000000e+00,3.245539411199685476e-02,-4.926719314208974354e-02,-9.720913020469490115e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
8.849999999999999645e+00,-6.927146393131541902e-02,2.259534151867653162e-01,1.660467129621504834e-01,2.888338491854531287e-01,6.014653914354920611e-02,1.000000000000000000e+00,3.271485009925683557e-02,-4.923724078375652652e-02,-9.700620851885929929e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
8.900000000000000355e+00,-7.156725203840487437e-02,2.240455055676838780e-01,1.662745168598037948e-01,2.880372807231189047e-01,5.987539315285672625e-02,1.000000000000000000e+00,3.297419138450397025e-02,-4.920669637229652116e-02,-9.679627817665631059e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
8.950000000000001066e+00,-7.355294827417545311e-02,2.218172567968074438e-01,1.668185263762921033e-01,2.871260217309500873e-01,6.067628360305399315e-02,1.000000000000000000e+00,3.323340701060753521e-02,-4.917556052623302254e-02,-9.657935434546183195e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.000000000000000000e+00,-7.581261197731489765e-02,2.198536577464640929e-01,1.670940091158013840e-01,2.863626910784884405e-01,6.012550880138236437e-02,1.000000000000000000e+00,3.349248602574589340e-02,-4.914383387606585663e-02,-9.635545269792834475e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.050000000000000711e+00,-7.776256720464623517e-02,2.175719279794892658e-01,1.676839947860013225e-01,2.854863968919725825e-01,6.117744423931757713e-02,1.000000000000000000e+00,3.375141748386918661e-02,-4.911151706425859187e-02,-9.612458941085241793e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.099999999999999645e+00,-7.998685949137650242e-02,2.155569757637715300e-01,1.680038174493706238e-01,2.847595304274781469e-01,6.036487437057499322e-02,1.000000000000000000e+00,3.401019044516182671e-02,-4.907861074522557737e-02,-9.588678116400618096e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.150000000000000355e+00,-8.190179964949030611e-02,2.132259430778968845e-01,1.686365707733368247e-01,2.839216451584387624e-01,6.164766325097231769e-02,1.000000000000000000e+00,3.426879397650469533e-02,-4.904511558531864102e-02,-9.564204513893196855e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.200000000000001066e+00,-8.409142050702349269e-02,2.111636635123925743e-01,1.689976503751086101e-01,2.832342945746003093e-01,6.058981757641034027e-02,1.000000000000000000e+00,3.452721715193709379e-02,-4.901103226281362107e-02,-9.539039901770119539e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.250000000000000000e+00,-8.597202068626645655e-02,2.087872071663185169e-01,1.696702091618166874e-01,2.824380747955304582e-01,6.208554459950428595e-02,1.000000000000000000e+00,3.478544905311820035e-02,-4.897636146789664802e-02,-9.513186098163659357e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.300000000000000711e+00,-8.812762132360299483e-02,2.066813384435475798e-01,1.700696997619726980e-01,2.817931086419612208e-01,6.079766418159038288e-02,1.000000000000000000e+00,3.504347876978874260e-02,-4.894110390265012100e-02,-9.486644970999878398e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.349999999999999645e+00,-8.997450982900584426e-02,2.042630608483297638e-01,1.707793299489886729e-01,2.810416161068034491e-01,6.249044304930474747e-02,1.000000000000000000e+00,3.530129540023143470e-02,-4.890526028103853173e-02,-9.459418437863678294e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.400000000000000355e+00,-9.209669658786762136e-02,2.021170746843337362e-01,1.712146051528881940e-01,2.804417130510539757e-01,6.098654854533209352e-02,1.000000000000000000e+00,3.555888805173212930e-02,-4.886883132889400377e-02,-9.431508465860228771e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.450000000000001066e+00,-9.391045870316200306e-02,1.996603217566189081e-01,1.719587839610692559e-01,2.797378088838985977e-01,6.286229412695130969e-02,1.000000000000000000e+00,3.581624584103951237e-02,-4.883181778390156824e-02,-9.402917071472860835e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.500000000000000000e+00,-9.599979668058858384e-02,1.974774429805944698e-01,1.724274207043628715e-01,2.791854524498503243e-01,6.115525597003012431e-02,1.000000000000000000e+00,3.607335789482531141e-02,-4.879422039558424518e-02,-9.373646320417391639e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.550000000000000711e+00,-9.778097815467201581e-02,1.949853229972871860e-01,1.732038210293557201e-01,2.785317926061762206e-01,6.320147757597607829e-02,1.000000000000000000e+00,3.633021335014349762e-02,-4.875603992528786124e-02,-9.343698327492848052e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.600000000000001421e+00,-9.983799455844544202e-02,1.927685476988476865e-01,1.737035845533256573e-01,2.780292672112946173e-01,6.130309221908906286e-02,1.000000000000000000e+00,3.658680135488929369e-02,-4.871727714616563842e-02,-9.313075256428686097e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.650000000000000355e+00,-1.015871048346662503e-01,1.902439487634948745e-01,1.745100605028590268e-01,2.774282990729825538e-01,6.350870806414335434e-02,1.000000000000000000e+00,3.684311106825766124e-02,-4.867793284316251912e-02,-9.281779319728478486e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.700000000000001066e+00,-1.036122920911725642e-01,1.879960611037112539e-01,1.750388904325953232e-01,2.769776872363023390e-01,6.142977600319882159e-02,1.000000000000000000e+00,3.709913166120133721e-02,-4.863800781299931764e-02,-9.249812778510032099e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.750000000000000000e+00,-1.053298072983075845e-01,1.854416673267753612e-01,1.758734639252614029e-01,2.764316472466625263e-01,6.378494797066062982e-02,1.000000000000000000e+00,3.735485231688837060e-02,-4.859750286415651099e-02,-9.217177942342044683e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.800000000000000711e+00,-1.073236259310001578e-01,1.831652551113357730e-01,1.764294613695306102e-01,2.760348278788758991e-01,6.153535072690665547e-02,1.000000000000000000e+00,3.761026223115907646e-02,-4.855641881685793249e-02,-9.183877169077231395e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.850000000000001421e+00,-1.090099916534092855e-01,1.805835615990080967e-01,1.772903097169552245e-01,2.755457401586767774e-01,6.403133801061786090e-02,1.000000000000000000e+00,3.786535061298258731e-02,-4.851475650305414611e-02,-9.149912864681980160e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
9.900000000000000355e+00,-1.109728729487023946e-01,1.782810307045985254e-01,1.778717253145908062e-01,2.752043878755789375e-01,6.162011228907685045e-02,1.000000000000000000e+00,3.812010668491270377e-02,-4.847251676640557116e-02,-9.115287483062502888e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
9.950000000000001066e+00,-1.126285067918572358e-01,1.756743574438386912e-01,1.787571697146408123e-01,2.747740637867008284e-01,6.424914224031270937e-02,1.000000000000000000e+00,3.837451968354328724e-02,-4.842970046226542646e-02,-9.080003525887565818e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.000000000000000000e+01,-1.145608552680398712e-01,1.733479451821420547e-01,1.793623925578170519e-01,2.744896492086362216e-01,6.168455020401832078e-02,1.000000000000000000e+00,3.862857885996300034e-02,-4.838630845766242472e-02,-9.044063542407722658e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.005000000000000071e+01,-1.161861492344321428e-01,1.707184499031765279e-01,1.802708874318185994e-01,2.741196878495314460e-01,6.443970464047803215e-02,1.000000000000000000e+00,3.888227348020945745e-02,-4.834234163128317552e-02,-9.007470129271145931e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.010000000000000142e+01,-1.180883449280450137e-01,1.683702374006773028e-01,1.808984348016958177e-01,2.738934788634237449e-01,6.172929973726510450e-02,1.000000000000000000e+00,3.913559282572258435e-02,-4.829780087345438705e-02,-8.970225930336013162e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.015000000000000036e+01,-1.196836676173758940e-01,1.657199274922114829e-01,1.818285579135710539e-01,2.735852684910121679e-01,6.460441501089700389e-02,1.000000000000000000e+00,3.938852619379785980e-02,-4.825268708612491519e-02,-8.932333636479499947e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.020000000000000107e+01,-1.215560682004315773e-01,1.633518511582381094e-01,1.824770657685484687e-01,2.734183324590183650e-01,6.175510312490619519e-02,1.000000000000000000e+00,3.964106289803800975e-02,-4.820700118284738239e-02,-8.893795985403357349e-03,-3.947803080081939697e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.025000000000000000e+01,-1.231217668469605370e-01,1.606825947050984360e-01,1.834275090683483156e-01,2.731730528359253007e-01,6.474468234690708424e-02,1.000000000000000000e+00,3.989319226880486124e-02,-4.816074408875978957e-02,-8.854615761436101379e-03,1.552196919918060525e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.030000000000000071e+01,-1.249437516319328728e-01,1.582964568552057694e-01,1.840957232295595547e-01,2.730566692761572933e-01,6.151355154957105498e-02,1.000000000000000000e+00,4.014490365367003044e-02,-4.811391674056669787e-02,-8.814795795331880485e-03,-3.746606707572937012e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.035000000000000142e+01,-1.264390240033074209e-01,1.556099928629980089e-01,1.850652843681045434e-01,2.728561088705522275e-01,6.447628105715047520e-02,1.000000000000000000e+00,4.039618641786493075e-02,-4.806652008652032015e-02,-8.774338964065920426e-03,1.753393292427063210e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.040000000000000036e+01,-1.281922820116479234e-01,1.532074715598538417e-01,1.857520523508667809e-01,2.727812593666882335e-01,6.104972569313947550e-02,1.000000000000000000e+00,4.064702994473016334e-02,-4.801855508640127945e-02,-8.733248190626680119e-03,-3.746606707572937012e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.045000000000000107e+01,-1.296204650407300207e-01,1.505054194264696665e-01,1.867396268161300998e-01,2.726261807999008080e-01,6.423735928733123601e-02,1.000000000000000000e+00,4.089742363616402643e-02,-4.797002271149918007e-02,-8.691526443804661189e-03,1.753393292427063210e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.050000000000000000e+01,-1.313082114440483894e-01,1.480880775958341167e-01,1.874438902598324630e-01,2.725933548610545709e-01,6.062348207152094826e-02,1.000000000000000000e+00,4.114735691307030985e-02,-4.792092394459296356e-02,-8.649176737977933710e-03,-3.746606707572937012e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.055000000000000071e+01,-1.326724031865848530e-01,1.453719458852361646e-01,1.884484640893336060e-01,2.724844818249153588e-01,6.402361801285212650e-02,1.000000000000000000e+00,4.139681921580524310e-02,-4.787125977993096637e-02,-8.606202132894310436e-03,1.753393292427063210e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.060000000000000142e+01,-1.342976233958063925e-01,1.429412397603849472e-01,1.891692517417483677e-01,2.724941384296745706e-01,6.023025098312283915e-02,1.000000000000000000e+00,4.164580000462363846e-02,-4.782103122321085253e-02,-8.562605733450322221e-03,-3.746606707572937012e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.065000000000000036e+01,-1.356007009211290526e-01,1.402124343300201192e-01,1.901898947685916053e-01,2.724321436672619279e-01,6.383134747765675798e-02,1.000000000000000000e+00,4.189428876012421532e-02,-4.777023929155915782e-02,-8.518390689466862759e-03,1.753393292427063210e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.070000000000000107e+01,-1.371661678056965428e-01,1.377697212740364441e-01,1.909263159838318624e-01,2.724847001678886715e-01,5.986601655966916624e-02,1.000000000000000000e+00,4.214227498369400859e-02,-4.771888501351077144e-02,-8.473560195461624089e-03,-3.746606707572937012e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.075000000000000000e+01,-1.384108037695937765e-01,1.350295528034489712e-01,1.919621755771428739e-01,2.724701957696551990e-01,6.365735472632393088e-02,1.000000000000000000e+00,4.238974819795196525e-02,-4.766696942898807077e-02,-8.428117490418298580e-03,1.753393292427063210e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.080000000000000071e+01,-1.399190936082327363e-01,1.325760985551714399e-01,1.927134142894919300e-01,2.725660189960833479e-01,5.952725624002663113e-02,1.000000000000000000e+00,4.263669794719159023e-02,-4.761449358927985487e-02,-8.382065857552549112e-03,-3.746606707572937012e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.085000000000000142e+01,-1.411077716049239927e-01,1.298257895198860479e-01,1.937637095528945419e-01,2.725995487367277592e-01,6.349889860372819050e-02,1.000000000000000000e+00,4.288311379782272503e-02,-4.756145855702009762e-02,-8.335408624074827286e-03,1.753393292427063210e+00,-2.876943230628967729e+00,3.291426181793213335e+00
1.090000000000000036e+01,-1.425315816231106925e-01,1.273627749059301206e-01,1.945290186915129005e-01,2.727234263953264848e-01,5.892155474561799888e-02,1.000000000000000000e+00,4.312898533881232704e-02,-4.750786540616638853e-02,-8.288149160949958086e-03,-3.461513221263885498e+00,2.623056769371032715e+00,-2.208573818206787109e+00
1.095000000000000107e+01,-1.436083295762388967e-01,1.248484096363386697e-01,1.955930350859649003e-01,2.728866304649976149e-01,5.869769927742012755e-02,1.000000000000000000e+00,4.337430218212436767e-02,-4.745371522197820713e-02,-8.240290882653589916e-03,2.038486778736114946e+00,-5.254846811294555664e-01,3.291426181793213335e+00
1.100000000000000000e+01,-1.449234880488255439e-01,1.228576386013415511e-01,1.963717313980570811e-01,2.732373942988159388e-01,5.019633081517375223e-02,1.000000000000000000e+00,4.361905396315873817e-02,-4.739900910099491271e-02,-8.191837246925509977e-03,-3.461513221263885498e+00,4.974515318870544434e+00,-2.208573818206787109e+00
1.105000000000000071e+01,-1.458947421490154328e-01,1.207980139647560208e-01,1.974488157578428715e-01,2.736118981490601731e-01,5.038054739226623113e-02,1.000000000000000000e+00,4.386323034118900371e-02,-4.734374815101360240e-02,-8.142791754519823275e-03,2.038486778736114946e+00,-5.254846811294555664e-01,3.291426181793213335e+00
1.110000000000000142e+01,-1.471074482249552506e-01,1.192451390557957153e-01,1.982402750102525424e-01,2.741518031088515106e-01,4.246638321178149156e-02,1.000000000000000000e+00,4.410682099979964382e-02,-4.728793349106662214e-02,-8.093157948952014319e-03,-3.461513221263885498e+00,4.974515318870544434e+00,-2.208573818206787109e+00
1.115000000000000036e+01,-1.479791795459235726e-01,1.176071997815823916e-01,1.993298309232282017e-01,2.747028804279861847e-01,4.303437067957585627e-02,1.000000000000000000e+00,4.434981564732143333e-02,-4.723156625139891818e-02,-8.042939416242957454e-03,2.038486778736114946e+00,-5.254846811294555664e-01,3.291426181793213335e+00
1.120000000000000107e+01,-1.490951848537048763e-01,1.164604094450008703e-01,2.001334834546411590e-01,2.754011843009154248e-01,3.581314459423640129e-02,1.000000000000000000e+00,4.459220401726680244e-02,-4.717464757344519422e-02,-7.992139784659783863e-03,-3.461513221263885498e+00,4.974515318870544434e+00,-2.208573818206787109e+00
1.125000000000000000e+01,-1.498729338849054127e-01,1.152135410485301270e-01,2.012349669799545770e-01,2.761006488359525335e-01,3.673058839816094323e-02,1.000000000000000000e+00,4.483397586876307350e-02,-4.711717860980670775e-02,-7.940762724453789140e-03,2.038486778736114946e+00,-5.254846811294555664e-01,3.291426181793213335e+00
1.130000000000000071e+01,-1.508975757694669961e-01,1.144433729699931152e-01,2.020502935779371068e-01,2.769326364385056860e-01,3.038293812107770511e-02,1.000000000000000000e+00,4.507512098698551045e-02,-4.705916052422801088e-02,-7.888811947595214882e-03,-3.461513221263885498e+00,4.974515318870544434e+00,-2.208573818206787109e+00
1.135000000000000142e+01,-1.515864844058532890e-01,1.135592220921118889e-01,2.031632092764180109e-01,2.777578959817078030e-01,3.159050006613391137e-02,1.000000000000000000e+00,4.531562918358875147e-02,-4.700059449157336505e-02,-7.836291207505093406e-03,2.038486778736114946e+00,-5.254846811294555664e-01,3.291426181793213335e+00
1.140000000000000036e+01,-1.524807495069514796e-01,1.131383902730168506e-01,2.039897373554158122e-01,2.786799010874352334e-01,2.576787268190188981e-02,1.000000000000000000e+00,4.555549029713726328e-02,-4.694148169780291979e-02,-7.783204298784051484e-03,-3.039427995681762695e+00,4.974515318870544434e+00,-2.208573818206787109e+00
