timeSec,positionX,positionY,yawRad,surgeVelocity,swayVelocity,yawRate,currentX,currentY,forceXBody,forceYBody,momentYaw,positionErrorNorm,yawError,forceNorm,requestedForceXBody,requestedForceYBody
1.550000000000000044e+00,2.228547791762746755e+00,-1.237984220326206142e+00,1.198964081693807415e-01,-1.082482522438200201e+00,1.109104402261695377e+00,-2.737073775147561561e-01,1.199692697837063532e-01,-3.360163137528220101e-02,-3.699413385654099073e+01,8.890403116706215414e+00,8.098842997530564247e-01,2.549319554302147406e+00,-1.198964081693807415e-01,3.804740736729917927e+01,-3.699413385654099073e+01,8.890403116706215414e+00
1.600000000000000089e+00,2.173999965988615557e+00,-1.191316060794636700e+00,1.067021941450025935e-01,-1.105250584269911185e+00,1.086142417569210261e+00,-2.542343205570655185e-01,1.204850046120214679e-01,-3.328942443481003322e-02,-3.461642029299392220e+01,6.666659249104939455e+00,8.234721574899626084e-01,2.479013878304385798e+00,-1.067021941450025935e-01,3.525253039775837038e+01,-3.461642029299392220e+01,6.666659249104939455e+00
1.650000000000000133e+00,2.119176029107735282e+00,-1.145168151424985181e+00,9.445834924113105657e-02,-1.124393925818920836e+00,1.061013956978809292e+00,-2.356844049430028010e-01,1.209973431557542778e-01,-3.297603690026838091e-02,-3.228955767257932052e+01,4.714399298127323057e+00,8.276784162831796188e-01,2.408799937185101214e+00,-9.445834924113105657e-02,3.263190303112905610e+01,-3.228955767257932052e+01,4.714399298127323057e+00
1.700000000000000178e+00,2.064194168808568541e+00,-1.099663122290338801e+00,8.311838948247451953e-02,-1.140063510082375275e+00,1.034138000897207199e+00,-2.180705917585477605e-01,1.215055411582525308e-01,-3.266217764889097624e-02,-3.002357169681597071e+01,3.009885881916835704e+00,8.239927327312481786e-01,2.338836580239977980e+00,-8.311838948247451953e-02,3.017406619029015502e+01,-3.002357169681597071e+01,3.009885881916835704e+00
1.750000000000000000e+00,2.009164609654171318e+00,-1.054908216573744228e+00,7.263544373891317463e-02,-1.152419803347325855e+00,1.005889760110674214e+00,-2.013954980805407746e-01,1.220089466944015016e-01,-3.234850777154591600e-02,-2.782679862228131995e+01,1.530536432624399312e+00,8.137317551598948207e-01,2.269267232848876326e+00,-7.263544373891317463e-02,2.786885830701696065e+01,-2.782679862228131995e+01,1.530536432624399312e+00
1.800000000000000044e+00,1.954190383856822422e+00,-1.010996222542263956e+00,6.296272904693767103e-02,-1.161630355921277946e+00,9.766035321379904488e-01,-1.856530573747008916e-01,1.225069945790845799e-01,-3.203564519738759386e-02,-2.570600431128670138e+01,2.550070876180778323e-01,7.980556973777437335e-01,2.200221220321538773e+00,-6.296272904693767103e-02,2.570726913280805803e+01,-2.570600431128670138e+01,2.550070876180778323e-01
1.850000000000000089e+00,1.899367936570202087e+00,-9.680064267210224394e-01,5.405394780005501332e-02,-1.167867594293187317e+00,9.465755774506087183e-01,-1.708299860621743660e-01,1.229992006484431910e-01,-3.172416832561395644e-02,-2.366651363297594202e+01,-8.367535370064052014e-01,7.779835912749781812e-01,2.131814954597173628e+00,-5.405394780005501332e-02,2.368130114713988377e+01,-2.366651363297594202e+01,-8.367535370064052014e-01
1.900000000000000133e+00,1.844787597253931599e+00,-9.260055727185365626e-01,4.586361602950095318e-02,-1.171306833235140621e+00,9.160669759330686279e-01,-1.569070748984167096e-01,1.234851560072289245e-01,-3.141461885365811474e-02,-2.171234456642344668e+01,-1.763476921998666791e+00,7.544072991013788254e-01,2.064152998129673122e+00,-4.586361602950095318e-02,2.178384165902606995e+01,-2.171234456642344668e+01,-1.763476921998666791e+00
1.950000000000000178e+00,1.790533944729964189e+00,-8.850488130983800161e-01,3.834733110205901241e-02,-1.172124508810953314e+00,8.853064300697613964e-01,-1.438603223151360133e-01,1.239645213178771910e-01,-3.110750396753115404e-02,-1.984634262331485743e+01,-2.542569786409432098e+00,7.281043640155977492e-01,1.997329018663950073e+00,-3.834733110205901241e-02,2.000854758948700152e+01,-1.984634262331485743e+01,-2.542569786409432098e+00
2.000000000000000000e+00,1.736686089729543747e+00,-8.451806441759782684e-01,3.146198633958929847e-02,-1.170496627536713907e+00,8.544929872860567155e-01,-1.316619254750643064e-01,1.244370211920295122e-01,-3.080329803710845846e-02,-1.807031228455749883e+01,-3.190128137984533208e+00,6.997497749264798284e-01,1.931426647726963042e+00,-3.146198633958929847e-02,1.834974396546693853e+01,-1.807031228455749883e+01,-3.190128137984533208e+00
