timeSec,positionX,positionY,yawRad,surgeVelocity,swayVelocity,yawRate,currentX,currentY,forceXBody,forceYBody,momentYaw,positionErrorNorm,yawError,forceNorm,requestedForceXBody,requestedForceYBody
1.000000000000000000e+00,2.966253973522948506e+00,-1.802780825681919108e+00,3.383849016798712306e-01,-5.869561880656340991e-01,1.026205379978408105e+00,-5.278020043412746665e-01,3.354925807983670794e-01,-9.977284058809224310e-02,-6.221084555838549335e+01,5.792072767939564670e+01,-6.199634113413416969e-01,3.471121049587159391e+00,-3.383849016798712306e-01,8.500000000000000000e+01,-7.812936681282279494e+01,7.274149287493726490e+01
1.050000000000000044e+00,2.936877955072460189e+00,-1.768038165651028892e+00,3.125846786187893578e-01,-6.541125576893295213e-01,1.069325943349350272e+00,-5.044148558183962905e-01,3.372592730259306726e-01,-9.923118874478853435e-02,-6.469423090719898539e+01,5.513307979177311324e+01,-3.341550729737985392e-01,3.428003949558584118e+00,-3.125846786187893578e-01,8.500000000000000000e+01,-7.710794011951765015e+01,6.571216869842361064e+01
1.100000000000000089e+00,2.904757674325781913e+00,-1.731182413269811704e+00,2.879699762644332139e-01,-7.229262898784125646e-01,1.107495433297577714e+00,-4.803868737935750866e-01,3.390674127816355465e-01,-9.863688375451060142e-02,-6.704423351762379468e+01,5.225007896677600883e+01,-9.184558231183004295e-02,3.381509972566872690e+00,-2.879699762644332139e-01,8.499999999999998579e+01,-7.560452746949282243e+01,5.892143624087172782e+01
1.150000000000000133e+00,2.869913420079836186e+00,-1.692364136440946298e+00,2.645648741938737558e-01,-7.931851509211498286e-01,1.140744252549040993e+00,-4.560337354670573329e-01,3.409139501506543435e-01,-9.799033062358791790e-02,-6.925618277271189527e+01,4.928063664110605657e+01,1.119125420768209977e-01,3.331741197792207121e+00,-2.645648741938737558e-01,8.500000000000000000e+01,-7.363426524539103468e+01,5.239594971328286732e+01
1.200000000000000178e+00,2.832354908250104941e+00,-1.651742218664415285e+00,2.423788917606448656e-01,-8.646758012919595338e-01,1.169113401111969708e+00,-4.316226039244344115e-01,3.427956689369169863e-01,-9.729172286501994171e-02,-7.121547135958940089e+01,4.615868853782718162e+01,2.816007378519858051e-01,3.278793479804256616e+00,-2.423788917606448656e-01,8.486617635136295235e+01,-7.121547135958940089e+01,4.615868853782718162e+01
1.250000000000000000e+00,2.792087085681681735e+00,-1.609484320555555348e+00,2.214092739381174901e-01,-9.370408675456578518e-01,1.192557035999978643e+00,-4.073776733280586315e-01,3.447091774341367598e-01,-9.654115857471000373e-02,-6.862286516562436134e+01,4.074773731618286376e+01,4.212708224510821609e-01,3.222761249634326308e+00,-2.214092739381174901e-01,7.980899523191669687e+01,-6.837695012777052739e+01,4.023449536004107330e+01
1.300000000000000044e+00,2.749267293951173752e+00,-1.565807052044973613e+00,2.016430131313122764e-01,-1.004340917626982410e+00,1.208263482089418028e+00,-3.834851896511258240e-01,3.466501049831975378e-01,-9.574178370751687539e-02,-6.580720459936671318e+01,3.544943045685302252e+01,5.345792682002725726e-01,3.163893547169907450e+00,-2.016430131313122764e-01,7.474791165576581875e+01,-6.546245558448386248e+01,3.480070663971736167e+01
1.350000000000000089e+00,2.704196202418327033e+00,-1.520976423445329573e+00,1.830586321412130957e-01,-1.066404458703176683e+00,1.216619154517879720e+00,-3.600979881403517657e-01,3.486130929522031074e-01,-9.489961073830116556e-02,-6.275631169404648801e+01,3.028299527577635430e+01,6.248193771220558190e-01,3.102587046619361022e+00,-1.830586321412130957e-01,6.968080410208402498e+01,-6.250576664190541720e+01,2.985871792091769450e+01
1.400000000000000133e+00,2.657161850123303193e+00,-1.475263903603005744e+00,1.656277514681838703e-01,-1.123048176516531660e+00,1.218023360311999204e+00,-3.373395862416403990e-01,3.505926735748266521e-01,-9.402039949988560963e-02,-5.954219750533568600e+01,2.540591139752465111e+01,6.949514142166597352e-01,3.039228961928448491e+00,-1.656277514681838703e-01,6.473587581629892895e+01,-5.954219750533568600e+01,2.540591139752465111e+01
1.450000000000000178e+00,2.608439654912151351e+00,-1.428938636624194514e+00,1.493164622647311646e-01,-1.174186685590996593e+00,1.213066966286471926e+00,-3.153078683298462526e-01,3.525834256171712089e-01,-9.310965736557959282e-02,-5.660209562379186821e+01,2.142591551080905532e+01,7.476307663878047904e-01,2.974192841857372649e+00,-1.493164622647311646e-01,6.052162493259088905e+01,-5.660209562379186821e+01,2.142591551080905532e+01
